"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","576.95","277","1.62","715.82"
"2","1004.1","92","3.57","1145"
"3","314.6","185","1.43","726"
"4","349.6","277","1.18","584.6"
"5","654.6","92","3.02","881.1"
"6","624.6","185","2.13","811.2"
"7","897","185","2.55","838.9"
"8","806","277","1.97","776.3"
"9","265","92","1.96","730.8"
