"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","559.59","277","1.59","603.36"
"2","921.8","185","2.58","740.5"
"3","335.1","277","1.14","433.5"
"4","610.2","185","2.1","588"
"5","281.1","92","2.02","559.7"
"6","639","92","2.99","682.5"
"7","1013","92","3.59","746.9"
"8","794.4","277","1.95","596.3"
"9","317.7","185","1.44","419.8"
