"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","790.68","277","1.95","645.73"
"2","605.6","185","2.1","664.4"
"3","917.9","185","2.58","982.1"
"4","1021.9","92","3.6","900.8"
"5","636","92","2.98","871.2"
"6","327.7","185","1.47","519.5"
"7","270.4","92","1.98","641.5"
"8","372.7","277","1.23","498.9"
"9","596.2","277","1.66","619.5"
