"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","623","92","2.96","693.27"
"2","301.9","92","2.1","675.4"
"3","1020.9","92","3.6","789.9"
"4","607.8","277","1.68","646.3"
"5","809.9","277","1.97","602.9"
"6","299.8","185","1.39","500.8"
"7","917.7","185","2.58","718.6"
"8","360.4","277","1.2","498.4"
"9","598.8","185","2.08","624.5"
