"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","291.27","232","1.17","486.45"
"2","245.4","155","1.37","497.7"
"3","748.6","155","2.54","778.4"
"4","844.5","77","3.58","960.5"
"5","448.3","232","1.55","479.4"
"6","626","232","1.89","673"
"7","535","77","2.99","708.3"
"8","499.5","155","2.08","633.2"
"9","222.4","77","1.96","669.5"
