"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","258.27","92","1.93","664.09"
"2","601.8","185","2.09","506.8"
"3","887.1","185","2.53","479.9"
"4","570.5","277","1.61","489.7"
"5","772.1","277","1.92","507.8"
"6","343.5","277","1.16","407.5"
"7","292","185","1.37","342"
"8","641.6","92","3","758.5"
"9","1013.7","92","3.59","818.5"
