"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","627.91","92","2.97","781"
"2","265.2","92","1.96","601.5"
"3","300.2","185","1.39","487.5"
"4","913.8","185","2.57","793"
"5","1023.8","92","3.6","857.8"
"6","773","277","1.92","656.6"
"7","568.1","277","1.61","655.2"
"8","329.7","277","1.13","465.2"
"9","595.6","185","2.08","770.3"
