"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","884.68","185","2.53","666.82"
"2","617.7","185","2.12","616"
"3","1013.2","92","3.59","757.7"
"4","821.6","277","1.99","571.8"
"5","638.8","92","2.99","675.5"
"6","317","185","1.44","449.3"
"7","551.4","277","1.58","450.1"
"8","342.3","277","1.16","421.7"
"9","268.3","92","1.97","708.9"
