"Trial","Average Distance (pixels)","Width (pixels)","Index of Difficulty (bits)","Average Time (milliseconds)"
"1","769.95","277","1.92","742.45"
"2","592.3","185","2.07","619.7"
"3","308.2","185","1.41","508.6"
"4","1010.9","92","3.58","839.3"
"5","636","92","2.98","767.1"
"6","315.4","277","1.1","400.8"
"7","889","185","2.54","740.5"
"8","558.4","277","1.59","532"
"9","265","92","1.96","585.6"
